,Name,min1,index1,min2,index2,min3,index3,min4,index4,min5,index5,min6,index6,max,max_index,maxAi,maxA,maxAw,scan_number,maxA0i,maxA0,maxA0w,maxBi,maxB,maxBw,maxCi,maxC,maxCw,Int_A,Int_C,Int_N_A,Unnamed: 0
30,ASW_2020_09_16_31,0.008317515,6636,0.008888567,4543,0.009277241,3959,0.008351367,2461,0.008203733000000001,2097,0.008449937,1029,0.01836899,5028,5076,0.009623196180124222,3247.107,31,5028.0,0.01836899,3223.965,2437,0.002416126762349799,1974.781,1495,0.0066334490898876395,1520.62,3.256799510058078,1.924222608832571,3.395573950800856,
0,ASW_2020_09_17_1,-0.0410494,6638,-0.05356491,4353,-0.05159122,4144,-0.02656147,2483,-0.0232611,2281,-0.003122975,995,0.33294309999999994,5172,5172,0.3820221444901531,3293.391,1,5172.0,0.33294309999999994,3293.391,2940,0.010735391794099935,2217.29,1835,0.030168250225505445,1684.542,135.14830726841083,5.806994955799879,99.99999999999982,
1,ASW_2020_09_17_2,-0.04127013,6638,-0.0536726,4355,-0.0516715,4144,-0.02656795,2483,-0.02325489,2281,-0.003054303,947,0.3336305,5163,5163,0.3829136143407797,3289.052,2,5163.0,0.3336305,3289.052,2940,0.010743126791089706,2217.29,1835,0.03045520050824588,1684.542,135.40216812217682,6.249885025887588,100.18783872243509,
2,ASW_2020_09_17_3,-0.04109974,6638,-0.05363508,4372,-0.05141669999999999,4148,-0.02549154,2483,-0.02195641,2281,-0.001077384,995,0.360538,5145,5145,0.409896902674316,3280.3740000000007,3,5145.0,0.360538,3280.3740000000007,2940,0.011222064666666668,2217.29,1814,0.02809193867651633,1674.418,139.66874366092958,5.387251398013794,103.3447969004458,
3,ASW_2020_09_17_4,-0.04126594,6633,-0.053916099999999995,4361,-0.05162791,4148,-0.0255336,2483,-0.02199262,2281,-0.001049779,945,0.3675943,5144,5136,0.417187014612676,3276.035,4,5144.0,0.3675943,3279.8920000000007,2940,0.011300702024024023,2217.29,1814,0.02799265111751497,1674.418,140.63336525364446,5.855340974699397,104.05854730710031,
4,ASW_2020_09_17_5,-0.04127895,6633,-0.05393456,4374,-0.05163587,4148,-0.02546107,2483,-0.0219565,2281,-0.0009528981,956,0.3701213,5136,5136,0.4197869025763612,3276.035,5,5136.0,0.3701213,3276.035,2940,0.011437464474474478,2217.29,1814,0.02785685106618868,1674.418,141.03811925386074,5.758874649129092,104.35803607495632,
5,ASW_2020_09_17_6,-0.04153147,6633,-0.05415419999999999,4374,-0.05170562,4144,-0.02553763,2473,-0.02203161,2281,-0.0016689270000000002,935,0.4149375,5115,5115,0.4649511763479416,3265.91,6,5115.0,0.4149375,3265.91,2959,0.013356897809694795,2226.45,1814,0.028234986953194645,1674.418,146.78268034425562,7.007985461463589,108.60859696358564,
6,ASW_2020_09_17_7,-0.04155036,6633,-0.05419292,4374,-0.05175653,4146,-0.02542242,2473,-0.02189365,2281,-0.001660096,935,0.4308755,5107,5107,0.4809661639220895,3262.053,7,5107.0,0.4308755,3262.053,2959,0.013781016640765087,2226.45,1814,0.02779528876820208,1674.418,148.6188546910762,7.174061511764807,109.96723354878007,
7,ASW_2020_09_17_8,-0.04134835,6633,-0.0540322,4374,-0.05156432,4146,-0.02514503,2473,-0.02162279,2281,-0.001418346,935,0.4352532,5107,5107,0.4851697461487384,3262.053,8,5107.0,0.4352532,3262.053,2978,0.013934360854751936,2235.61,1814,0.02767652859732541,1674.418,149.1213093684402,7.204705560044157,110.33901377120316,
8,ASW_2020_09_17_9,-0.04181349,6638,-0.05360885,4357,-0.05154614,4146,-0.02460705,2473,-0.02085463,2281,-0.0009071096,945,0.4676893,5099,5097,0.5174712097544937,3257.232,9,5099.0,0.4676893,3258.196,2978,0.01432452402271369,2235.61,1814,0.024759676327245503,1674.418,152.40859915163753,6.885393876317128,112.77137111968966,
